VARA,VARB,VARC
btf,Epicatechingallate,Epicatechingallate
btf,Astragalin,Astragalin
btf,Cianidanol,Cianidanol
btf,Epicatechin,Epicatechin
btf,EpigallocatechinGallate,EpigallocatechinGallate
btf,Epigallocatechin,Epigallocatechin
btf,Hyperoside,Hyperoside
btf,Kaempferolglucosylrhamnosylgalactoside,Kaempferolglucosylrhamnosylgalactoside
btf,KaempferolODgalactoside,KaempferolODgalactoside
btf,KaempferolOglucosylrhamnosylglucoside,KaempferolOglucosylrhamnosylglucoside
btf,KaempferolOglucosylrhamnoside,KaempferolOglucosylrhamnoside
btf,Myricetingalactoside,Myricetingalactoside
btf,Myricetinglucoside,Myricetinglucoside
btf,Myricetinglucosylrhamnosiderhamnosylglucoside,Myricetinglucosylrhamnosiderhamnosylglucoside
btf,Quercetinglucosylrhamnosylgalactoside,Quercetinglucosylrhamnosylgalactoside
btf,Quercetinrhamnosylgalactoside,Quercetinrhamnosylgalactoside
