VARIDX,VARA,VARB,VARC
1,btf,Astragalin,Astragalin
2,btf,Astragalin,Cianidanol
3,btf,Astragalin,Epicatechin
4,btf,Astragalin,Epicatechingallate
5,btf,Astragalin,Epigallocatechin
6,btf,Astragalin,EpigallocatechinGallate
7,btf,Astragalin,Hyperoside
8,btf,Astragalin,Kaempferolglucosylrhamnosylgalactoside
9,btf,Astragalin,KaempferolODgalactoside
10,btf,Astragalin,KaempferolOglucosylrhamnoside
11,btf,Astragalin,KaempferolOglucosylrhamnosylglucoside
12,btf,Astragalin,Myricetingalactoside
13,btf,Astragalin,Myricetinglucoside
14,btf,Astragalin,Myricetinglucosylrhamnosiderhamnosylglucoside
15,btf,Astragalin,Quercetinglucosylrhamnosylgalactoside
16,btf,Astragalin,Quercetinrhamnosylgalactoside
17,btf,Cianidanol,Astragalin
18,btf,Cianidanol,Cianidanol
19,btf,Cianidanol,Epicatechin
20,btf,Cianidanol,Epicatechingallate
21,btf,Cianidanol,Epigallocatechin
22,btf,Cianidanol,EpigallocatechinGallate
23,btf,Cianidanol,Hyperoside
24,btf,Cianidanol,Kaempferolglucosylrhamnosylgalactoside
25,btf,Cianidanol,KaempferolODgalactoside
26,btf,Cianidanol,KaempferolOglucosylrhamnoside
27,btf,Cianidanol,KaempferolOglucosylrhamnosylglucoside
28,btf,Cianidanol,Myricetingalactoside
29,btf,Cianidanol,Myricetinglucoside
30,btf,Cianidanol,Myricetinglucosylrhamnosiderhamnosylglucoside
31,btf,Cianidanol,Quercetinglucosylrhamnosylgalactoside
32,btf,Cianidanol,Quercetinrhamnosylgalactoside
33,btf,Epicatechin,Astragalin
34,btf,Epicatechin,Cianidanol
35,btf,Epicatechin,Epicatechin
36,btf,Epicatechin,Epicatechingallate
37,btf,Epicatechin,Epigallocatechin
38,btf,Epicatechin,EpigallocatechinGallate
39,btf,Epicatechin,Hyperoside
40,btf,Epicatechin,Kaempferolglucosylrhamnosylgalactoside
41,btf,Epicatechin,KaempferolODgalactoside
42,btf,Epicatechin,KaempferolOglucosylrhamnoside
43,btf,Epicatechin,KaempferolOglucosylrhamnosylglucoside
44,btf,Epicatechin,Myricetingalactoside
45,btf,Epicatechin,Myricetinglucoside
46,btf,Epicatechin,Myricetinglucosylrhamnosiderhamnosylglucoside
47,btf,Epicatechin,Quercetinglucosylrhamnosylgalactoside
48,btf,Epicatechin,Quercetinrhamnosylgalactoside
49,btf,Epicatechingallate,Astragalin
50,btf,Epicatechingallate,Cianidanol
51,btf,Epicatechingallate,Epicatechin
52,btf,Epicatechingallate,Epicatechingallate
53,btf,Epicatechingallate,Epigallocatechin
54,btf,Epicatechingallate,EpigallocatechinGallate
55,btf,Epicatechingallate,Hyperoside
56,btf,Epicatechingallate,Kaempferolglucosylrhamnosylgalactoside
57,btf,Epicatechingallate,KaempferolODgalactoside
58,btf,Epicatechingallate,KaempferolOglucosylrhamnoside
59,btf,Epicatechingallate,KaempferolOglucosylrhamnosylglucoside
60,btf,Epicatechingallate,Myricetingalactoside
61,btf,Epicatechingallate,Myricetinglucoside
62,btf,Epicatechingallate,Myricetinglucosylrhamnosiderhamnosylglucoside
63,btf,Epicatechingallate,Quercetinglucosylrhamnosylgalactoside
64,btf,Epicatechingallate,Quercetinrhamnosylgalactoside
65,btf,Epigallocatechin,Astragalin
66,btf,Epigallocatechin,Cianidanol
67,btf,Epigallocatechin,Epicatechin
68,btf,Epigallocatechin,Epicatechingallate
69,btf,Epigallocatechin,Epigallocatechin
